step,tl_id,new_state
36,0,1
72,0,2
108,0,3
144,0,0
180,0,1
216,0,2
252,0,3
288,0,0
324,0,1
360,0,2
396,0,3
432,0,0
468,0,1
504,0,2
540,0,3
576,0,0
612,0,1
648,0,2
684,0,3
720,0,0
756,0,1
792,0,2
828,0,3
864,0,0
900,0,1
936,0,2
972,0,3
1008,0,0
1044,0,1
1080,0,2
1116,0,3
1152,0,0
1188,0,1
1224,0,2
1260,0,3
1296,0,0
1332,0,1
1368,0,2
1404,0,3
1440,0,0
1476,0,1
1512,0,2
1548,0,3
1584,0,0
1620,0,1
1656,0,2
1692,0,3
1728,0,0
1764,0,1
1800,0,2
1836,0,3
1872,0,0
1908,0,1
1944,0,2
1980,0,3
2016,0,0
2052,0,1
2088,0,2
2124,0,3
2160,0,0
2196,0,1
2232,0,2
2268,0,3
2304,0,0
2340,0,1
2376,0,2
2412,0,3
2448,0,0
2484,0,1
2520,0,2
2556,0,3
2592,0,0
2628,0,1
2664,0,2
2700,0,3
2736,0,0
2772,0,1
2808,0,2
2844,0,3
2880,0,0
2916,0,1
2952,0,2
2988,0,3
3024,0,0
3060,0,1
3096,0,2
3132,0,3
3168,0,0
3204,0,1
3240,0,2
3276,0,3
3312,0,0
3348,0,1
3384,0,2
3420,0,3
3456,0,0
3492,0,1
3528,0,2
3564,0,3
3600,0,0
3636,0,1
3672,0,2
3708,0,3
3744,0,0
3780,0,1
3816,0,2
3852,0,3
3888,0,0
3924,0,1
3960,0,2
3996,0,3
4032,0,0
4068,0,1
4104,0,2
4140,0,3
4176,0,0
4212,0,1
4248,0,2
4284,0,3
4320,0,0
4356,0,1
4392,0,2
4428,0,3
4464,0,0
4500,0,1
4536,0,2
4572,0,3
4608,0,0
4644,0,1
4680,0,2
4716,0,3
4752,0,0
4788,0,1
4824,0,2
4860,0,3
4896,0,0
4932,0,1
4968,0,2
5004,0,3
5040,0,0
5076,0,1
5112,0,2
5148,0,3
5184,0,0
5220,0,1
5256,0,2
5292,0,3
5328,0,0
5364,0,1
5400,0,2
5436,0,3
5472,0,0
5508,0,1
5544,0,2
5580,0,3
5616,0,0
5652,0,1
5688,0,2
5724,0,3
5760,0,0
5796,0,1
5832,0,2
5868,0,3
5904,0,0
5940,0,1
5976,0,2
6012,0,3
6048,0,0
6084,0,1
6120,0,2
6156,0,3
6192,0,0
6228,0,1
6264,0,2
6300,0,3
6336,0,0
6372,0,1
6408,0,2
6444,0,3
6480,0,0
6516,0,1
6552,0,2
6588,0,3
6624,0,0
6660,0,1
6696,0,2
6732,0,3
6768,0,0
6804,0,1
6840,0,2
6876,0,3
6912,0,0
6948,0,1
6984,0,2
7020,0,3
7056,0,0
7092,0,1
7128,0,2
7164,0,3
7200,0,0
7236,0,1
7272,0,2
7308,0,3
7344,0,0
7380,0,1
7416,0,2
7452,0,3
7488,0,0
7524,0,1
7560,0,2
7596,0,3
7632,0,0
7668,0,1
7704,0,2
7740,0,3
7776,0,0
7812,0,1
7848,0,2
7884,0,3
7920,0,0
7956,0,1
7992,0,2
8028,0,3
8064,0,0
8100,0,1
8136,0,2
8172,0,3
8208,0,0
8244,0,1
8280,0,2
8316,0,3
8352,0,0
8388,0,1
8424,0,2
8460,0,3
8496,0,0
8532,0,1
8568,0,2
8604,0,3
8640,0,0
8676,0,1
8712,0,2
8748,0,3
8784,0,0
8820,0,1
8856,0,2
8892,0,3
8928,0,0
8964,0,1
9000,0,2
9036,0,3
9072,0,0
9108,0,1
9144,0,2
9180,0,3
9216,0,0
9252,0,1
9288,0,2
9324,0,3
9360,0,0
9396,0,1
9432,0,2
9468,0,3
9504,0,0
9540,0,1
9576,0,2
9612,0,3
9648,0,0
9684,0,1
9720,0,2
9756,0,3
9792,0,0
9828,0,1
9864,0,2
9900,0,3
9936,0,0
9972,0,1
10008,0,2
10044,0,3
10080,0,0
10116,0,1
10152,0,2
10188,0,3
10224,0,0
10260,0,1
10296,0,2
10332,0,3
10368,0,0
10404,0,1
10440,0,2
10476,0,3
10512,0,0
10548,0,1
10584,0,2
10620,0,3
10656,0,0
10692,0,1
10728,0,2
10764,0,3
10800,0,0
10836,0,1
10872,0,2
10908,0,3
10944,0,0
10980,0,1
11016,0,2
11052,0,3
11088,0,0
11124,0,1
11160,0,2
11196,0,3
11232,0,0
11268,0,1
11304,0,2
11340,0,3
11376,0,0
11412,0,1
11448,0,2
11484,0,3
11520,0,0
11556,0,1
11592,0,2
11628,0,3
11664,0,0
11700,0,1
11736,0,2
11772,0,3
11808,0,0
11844,0,1
11880,0,2
11916,0,3
11952,0,0
11988,0,1
12024,0,2
12060,0,3
12096,0,0
12132,0,1
12168,0,2
12204,0,3
12240,0,0
12276,0,1
12312,0,2
12348,0,3
12384,0,0
12420,0,1
12456,0,2
12492,0,3
12528,0,0
12564,0,1
12600,0,2
12636,0,3
12672,0,0
12708,0,1
12744,0,2
12780,0,3
12816,0,0
12852,0,1
12888,0,2
12924,0,3
12960,0,0
12996,0,1
13032,0,2
13068,0,3
13104,0,0
13140,0,1
13176,0,2
13212,0,3
13248,0,0
13284,0,1
13320,0,2
13356,0,3
13392,0,0
13428,0,1
13464,0,2
13500,0,3
13536,0,0
13572,0,1
13608,0,2
13644,0,3
13680,0,0
13716,0,1
13752,0,2
13788,0,3
13824,0,0
13860,0,1
13896,0,2
13932,0,3
13968,0,0
14004,0,1
14040,0,2
14076,0,3
14112,0,0
14148,0,1
14184,0,2
14220,0,3
14256,0,0
14292,0,1
14328,0,2
14364,0,3
14400,0,0
14436,0,1
14472,0,2
14508,0,3
14544,0,0
14580,0,1
14616,0,2
14652,0,3
14688,0,0
14724,0,1
14760,0,2
14796,0,3
14832,0,0
14868,0,1
14904,0,2
14940,0,3
14976,0,0
15012,0,1
15048,0,2
15084,0,3
15120,0,0
15156,0,1
15192,0,2
15228,0,3
15264,0,0
15300,0,1
15336,0,2
15372,0,3
15408,0,0
15444,0,1
15480,0,2
15516,0,3
15552,0,0
15588,0,1
15624,0,2
15660,0,3
15696,0,0
15732,0,1
15768,0,2
15804,0,3
15840,0,0
15876,0,1
15912,0,2
15948,0,3
15984,0,0
16020,0,1
16056,0,2
16092,0,3
16128,0,0
16164,0,1
16200,0,2
16236,0,3
16272,0,0
16308,0,1
16344,0,2
16380,0,3
16416,0,0
16452,0,1
16488,0,2
16524,0,3
16560,0,0
16596,0,1
16632,0,2
16668,0,3
16704,0,0
16740,0,1
16776,0,2
16812,0,3
16848,0,0
16884,0,1
16920,0,2
16956,0,3
16992,0,0
17028,0,1
17064,0,2
17100,0,3
17136,0,0
17172,0,1
17208,0,2
17244,0,3
17280,0,0
17316,0,1
17352,0,2
17388,0,3
17424,0,0
17460,0,1
17496,0,2
17532,0,3
17568,0,0
17604,0,1
17640,0,2
17676,0,3
17712,0,0
17748,0,1
17784,0,2
17820,0,3
17856,0,0
17892,0,1
17928,0,2
17964,0,3
18000,0,0
18036,0,1
18072,0,2
18108,0,3
18144,0,0
18180,0,1
18216,0,2
18252,0,3
18288,0,0
18324,0,1
18360,0,2
18396,0,3
18432,0,0
18468,0,1
18504,0,2
18540,0,3
18576,0,0
18612,0,1
18648,0,2
18684,0,3
18720,0,0
18756,0,1
18792,0,2
18828,0,3
18864,0,0
18900,0,1
18936,0,2
18972,0,3
19008,0,0
19044,0,1
19080,0,2
19116,0,3
19152,0,0
19188,0,1
19224,0,2
19260,0,3
19296,0,0
19332,0,1
19368,0,2
19404,0,3
19440,0,0
19476,0,1
19512,0,2
19548,0,3
19584,0,0
19620,0,1
19656,0,2
19692,0,3
19728,0,0
19764,0,1
19800,0,2
19836,0,3
19872,0,0
19908,0,1
19944,0,2
19980,0,3
20016,0,0
20052,0,1
20088,0,2
20124,0,3
20160,0,0
20196,0,1
20232,0,2
20268,0,3
20304,0,0
20340,0,1
20376,0,2
20412,0,3
20448,0,0
20484,0,1
20520,0,2
20556,0,3
20592,0,0
20628,0,1
20664,0,2
20700,0,3
20736,0,0
20772,0,1
20808,0,2
20844,0,3
20880,0,0
20916,0,1
